latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.47803,13.3829,39.0,0,GMT,GMT

time,temperature_2m (Â°C),surface_pressure (hPa)
2024-05-31T00:00,13.9,1000.1
2024-05-31T01:00,14.6,1000.0
2024-05-31T02:00,13.8,1000.1
2024-05-31T03:00,13.1,1000.2
2024-05-31T04:00,13.2,1000.5
2024-05-31T05:00,14.0,1001.0
2024-05-31T06:00,15.3,1001.7
2024-05-31T07:00,16.4,1002.1
2024-05-31T08:00,17.6,1002.6
2024-05-31T09:00,19.0,1002.7
2024-05-31T10:00,20.9,1002.9
2024-05-31T11:00,21.3,1003.1
2024-05-31T12:00,22.1,1002.8
2024-05-31T13:00,20.2,1003.6
2024-05-31T14:00,20.7,1003.6
2024-05-31T15:00,20.9,1003.6
2024-05-31T16:00,21.0,1003.6
2024-05-31T17:00,20.9,1003.6
2024-05-31T18:00,19.9,1003.8
2024-05-31T19:00,17.9,1003.9
2024-05-31T20:00,16.8,1004.4
2024-05-31T21:00,16.3,1004.7
2024-05-31T22:00,15.7,1004.8
2024-05-31T23:00,15.3,1004.6
2024-06-01T00:00,14.8,1004.2
2024-06-01T01:00,16.1,1004.4
2024-06-01T02:00,16.1,1004.2
2024-06-01T03:00,15.6,1004.3
2024-06-01T04:00,16.1,1004.6
2024-06-01T05:00,17.5,1004.9
2024-06-01T06:00,19.0,1005.3
2024-06-01T07:00,20.7,1005.6
2024-06-01T08:00,22.1,1005.7
2024-06-01T09:00,23.1,1005.6
2024-06-01T10:00,23.7,1005.6
2024-06-01T11:00,24.1,1005.6
2024-06-01T12:00,24.6,1005.2
2024-06-01T13:00,24.1,1005.1
2024-06-01T14:00,23.3,1005.1
2024-06-01T15:00,23.8,1005.1
2024-06-01T16:00,23.2,1005.6
2024-06-01T17:00,22.1,1006.0
2024-06-01T18:00,21.3,1006.0
2024-06-01T19:00,19.9,1006.6
2024-06-01T20:00,18.6,1007.1
2024-06-01T21:00,17.8,1007.2
2024-06-01T22:00,17.2,1007.4
2024-06-01T23:00,16.5,1007.6
2024-06-02T00:00,16.0,1007.6
2024-06-02T01:00,15.8,1007.5
2024-06-02T02:00,15.7,1007.6
2024-06-02T03:00,15.7,1008.0
2024-06-02T04:00,16.3,1008.3
2024-06-02T05:00,17.4,1008.3
2024-06-02T06:00,18.5,1008.7
2024-06-02T07:00,19.8,1009.3
2024-06-02T08:00,21.1,1009.5
2024-06-02T09:00,22.0,1009.6
2024-06-02T10:00,20.5,1009.8
2024-06-02T11:00,20.8,1009.6
2024-06-02T12:00,19.1,1009.9
2024-06-02T13:00,20.9,1010.1
2024-06-02T14:00,22.3,1009.8
2024-06-02T15:00,22.0,1009.8
2024-06-02T16:00,21.4,1010.0
2024-06-02T17:00,20.7,1010.4
2024-06-02T18:00,19.7,1010.6
2024-06-02T19:00,18.5,1011.0
2024-06-02T20:00,17.2,1011.5
2024-06-02T21:00,16.3,1011.7
2024-06-02T22:00,15.8,1011.9
2024-06-02T23:00,15.6,1011.8
2024-06-03T00:00,15.1,1011.8
2024-06-03T01:00,13.9,1011.8
2024-06-03T02:00,13.5,1011.8
2024-06-03T03:00,13.3,1011.8
2024-06-03T04:00,13.5,1012.0
2024-06-03T05:00,13.6,1012.2
2024-06-03T06:00,14.1,1012.2
2024-06-03T07:00,14.9,1012.3
2024-06-03T08:00,14.8,1012.2
2024-06-03T09:00,15.0,1012.3
2024-06-03T10:00,15.8,1011.9
2024-06-03T11:00,16.7,1011.6
2024-06-03T12:00,17.5,1011.5
2024-06-03T13:00,15.8,1012.0
2024-06-03T14:00,16.2,1011.8
2024-06-03T15:00,16.5,1011.6
2024-06-03T16:00,16.3,1011.5
2024-06-03T17:00,16.3,1011.2
2024-06-03T18:00,16.1,1011.1
2024-06-03T19:00,14.9,1011.2
2024-06-03T20:00,14.4,1011.3
2024-06-03T21:00,14.7,1011.2
2024-06-03T22:00,14.5,1011.3
2024-06-03T23:00,14.5,1011.4
2024-06-04T00:00,14.3,1011.3
2024-06-04T01:00,13.8,1011.3
2024-06-04T02:00,13.7,1011.1
2024-06-04T03:00,13.6,1011.1
2024-06-04T04:00,13.9,1011.0
2024-06-04T05:00,14.4,1010.8
2024-06-04T06:00,15.2,1010.8
2024-06-04T07:00,16.3,1010.7
2024-06-04T08:00,17.3,1010.5
2024-06-04T09:00,18.1,1010.2
2024-06-04T10:00,18.5,1009.9
2024-06-04T11:00,18.9,1009.5
2024-06-04T12:00,19.1,1009.0
2024-06-04T13:00,18.9,1009.1
2024-06-04T14:00,18.6,1008.8
2024-06-04T15:00,18.7,1008.2
2024-06-04T16:00,18.9,1007.6
2024-06-04T17:00,18.6,1007.2
2024-06-04T18:00,18.1,1006.9
2024-06-04T19:00,16.6,1006.5
2024-06-04T20:00,14.0,1006.1
2024-06-04T21:00,13.5,1006.3
2024-06-04T22:00,13.5,1006.1
2024-06-04T23:00,13.0,1005.9
2024-06-05T00:00,12.5,1005.3
2024-06-05T01:00,11.9,1004.9
2024-06-05T02:00,12.1,1004.4
2024-06-05T03:00,12.2,1004.0
2024-06-05T04:00,13.4,1003.7
2024-06-05T05:00,15.3,1004.0
2024-06-05T06:00,17.3,1004.1
2024-06-05T07:00,18.5,1004.5
2024-06-05T08:00,18.7,1004.9
2024-06-05T09:00,19.4,1005.2
2024-06-05T10:00,20.3,1005.2
2024-06-05T11:00,20.3,1005.6
2024-06-05T12:00,18.9,1006.1
2024-06-05T13:00,18.5,1006.9
2024-06-05T14:00,19.6,1006.9
2024-06-05T15:00,18.5,1007.0
2024-06-05T16:00,18.3,1006.8
2024-06-05T17:00,17.8,1006.7
2024-06-05T18:00,17.1,1007.0
2024-06-05T19:00,16.0,1007.5
2024-06-05T20:00,15.4,1008.1
2024-06-05T21:00,15.2,1008.6
2024-06-05T22:00,14.2,1009.2
2024-06-05T23:00,14.5,1009.6
2024-06-06T00:00,13.6,1009.7
2024-06-06T01:00,12.8,1010.3
2024-06-06T02:00,12.2,1010.7
2024-06-06T03:00,11.3,1011.5
2024-06-06T04:00,11.2,1011.8
2024-06-06T05:00,12.0,1012.5
2024-06-06T06:00,13.2,1013.1
2024-06-06T07:00,14.7,1013.2
2024-06-06T08:00,15.9,1013.1
2024-06-06T09:00,17.0,1013.0
2024-06-06T10:00,17.7,1013.1
2024-06-06T11:00,19.0,1012.9
2024-06-06T12:00,19.5,1012.4
2024-06-06T13:00,18.9,1012.4
2024-06-06T14:00,19.4,1012.1
2024-06-06T15:00,19.1,1011.5
2024-06-06T16:00,19.1,1011.3
2024-06-06T17:00,18.9,1011.0
2024-06-06T18:00,17.9,1011.0
2024-06-06T19:00,16.4,1011.2
2024-06-06T20:00,14.8,1011.7
2024-06-06T21:00,14.5,1011.8
2024-06-06T22:00,14.6,1011.9
2024-06-06T23:00,13.7,1012.0
2024-06-07T00:00,12.8,1012.0
2024-06-07T01:00,13.0,1012.4
2024-06-07T02:00,12.7,1011.8
2024-06-07T03:00,12.0,1012.0
2024-06-07T04:00,12.3,1012.2
2024-06-07T05:00,13.8,1012.2
2024-06-07T06:00,14.9,1012.6
2024-06-07T07:00,16.2,1012.6
2024-06-07T08:00,17.3,1012.8
2024-06-07T09:00,18.1,1013.0
2024-06-07T10:00,18.5,1013.2
2024-06-07T11:00,18.5,1013.2
2024-06-07T12:00,18.9,1013.2
2024-06-07T13:00,19.4,1013.2
2024-06-07T14:00,19.4,1012.6
2024-06-07T15:00,19.2,1012.3
2024-06-07T16:00,19.1,1012.2
2024-06-07T17:00,18.3,1011.9
2024-06-07T18:00,17.5,1012.1
2024-06-07T19:00,17.1,1011.9
2024-06-07T20:00,16.5,1012.0
2024-06-07T21:00,12.2,1012.1
2024-06-07T22:00,11.2,1012.1
2024-06-07T23:00,11.4,1012.0
2024-06-08T00:00,10.9,1011.6
2024-06-08T01:00,9.7,1011.5
2024-06-08T02:00,9.4,1011.1
2024-06-08T03:00,8.8,1010.9
2024-06-08T04:00,10.8,1010.5
2024-06-08T05:00,12.8,1010.1
2024-06-08T06:00,15.3,1009.7
2024-06-08T07:00,17.8,1009.5
2024-06-08T08:00,19.5,1008.7
2024-06-08T09:00,20.9,1008.0
2024-06-08T10:00,22.0,1007.0
2024-06-08T11:00,22.7,1006.2
2024-06-08T12:00,22.5,1005.3
2024-06-08T13:00,23.8,1004.3
2024-06-08T14:00,23.8,1003.3
2024-06-08T15:00,23.6,1002.5
2024-06-08T16:00,23.1,1001.8
2024-06-08T17:00,22.9,1001.5
2024-06-08T18:00,21.2,1001.6
2024-06-08T19:00,19.0,1001.4
2024-06-08T20:00,17.3,1001.8
2024-06-08T21:00,17.2,1002.4
2024-06-08T22:00,15.5,1003.4
2024-06-08T23:00,13.8,1003.9
2024-06-09T00:00,13.5,1004.3
2024-06-09T01:00,12.3,1004.6
2024-06-09T02:00,10.8,1004.7
2024-06-09T03:00,10.6,1005.2
2024-06-09T04:00,11.2,1005.4
2024-06-09T05:00,12.0,1005.2
2024-06-09T06:00,13.0,1005.2
2024-06-09T07:00,13.9,1005.2
2024-06-09T08:00,14.8,1005.1
2024-06-09T09:00,15.7,1004.7
2024-06-09T10:00,16.8,1004.7
2024-06-09T11:00,17.8,1004.4
2024-06-09T12:00,18.3,1003.9
2024-06-09T13:00,20.3,1002.8
2024-06-09T14:00,20.3,1002.3
2024-06-09T15:00,19.6,1002.2
2024-06-09T16:00,20.5,1001.6
2024-06-09T17:00,19.8,1001.3
2024-06-09T18:00,18.3,1001.5
2024-06-09T19:00,16.1,1001.8
2024-06-09T20:00,13.9,1002.1
2024-06-09T21:00,12.2,1002.2
2024-06-09T22:00,11.7,1002.3
2024-06-09T23:00,12.0,1002.2
2024-06-10T00:00,10.7,1002.3
2024-06-10T01:00,10.9,1002.6
2024-06-10T02:00,9.9,1002.7
2024-06-10T03:00,9.4,1002.5
2024-06-10T04:00,10.4,1002.6
2024-06-10T05:00,11.7,1002.6
2024-06-10T06:00,13.2,1002.6
2024-06-10T07:00,14.4,1002.5
2024-06-10T08:00,15.5,1002.6
2024-06-10T09:00,16.9,1002.3
2024-06-10T10:00,17.7,1002.2
2024-06-10T11:00,17.6,1002.0
2024-06-10T12:00,18.1,1001.5
2024-06-10T13:00,18.4,1001.1
2024-06-10T14:00,18.3,1000.9
2024-06-10T15:00,18.4,1000.5
2024-06-10T16:00,18.3,1000.3
2024-06-10T17:00,17.9,999.9
2024-06-10T18:00,15.7,1000.3
2024-06-10T19:00,13.9,1000.5
2024-06-10T20:00,13.5,1000.6
2024-06-10T21:00,13.3,1000.3
2024-06-10T22:00,13.2,1000.0
2024-06-10T23:00,13.0,999.6
2024-06-11T00:00,13.2,999.3
2024-06-11T01:00,12.6,1000.0
2024-06-11T02:00,11.1,1000.1
2024-06-11T03:00,10.3,1000.1
2024-06-11T04:00,10.8,1000.4
2024-06-11T05:00,11.0,1000.7
2024-06-11T06:00,11.8,1001.6
2024-06-11T07:00,11.7,1002.9
2024-06-11T08:00,13.0,1004.2
2024-06-11T09:00,12.2,1005.2
2024-06-11T10:00,13.4,1006.0
2024-06-11T11:00,15.9,1006.2
2024-06-11T12:00,16.8,1006.3
2024-06-11T13:00,14.7,1007.6
2024-06-11T14:00,16.4,1007.7
2024-06-11T15:00,16.8,1007.6
2024-06-11T16:00,17.2,1007.5
2024-06-11T17:00,16.6,1007.5
2024-06-11T18:00,15.4,1007.9
2024-06-11T19:00,14.1,1008.5
2024-06-11T20:00,13.0,1009.0
2024-06-11T21:00,12.2,1009.7
2024-06-11T22:00,11.5,1010.3
2024-06-11T23:00,10.8,1010.6
2024-06-12T00:00,10.2,1010.7
2024-06-12T01:00,9.5,1011.0
2024-06-12T02:00,9.2,1010.9
2024-06-12T03:00,8.9,1011.1
2024-06-12T04:00,9.8,1011.4
2024-06-12T05:00,11.2,1011.7
2024-06-12T06:00,12.7,1012.0
2024-06-12T07:00,14.0,1012.0
2024-06-12T08:00,14.9,1012.1
2024-06-12T09:00,15.8,1012.0
2024-06-12T10:00,16.0,1011.9
2024-06-12T11:00,15.0,1012.1
2024-06-12T12:00,16.0,1011.9
2024-06-12T13:00,16.2,1012.2
2024-06-12T14:00,16.5,1011.8
2024-06-12T15:00,16.8,1011.6
2024-06-12T16:00,16.8,1011.4
2024-06-12T17:00,16.5,1011.0
2024-06-12T18:00,15.8,1011.3
2024-06-12T19:00,13.8,1011.6
2024-06-12T20:00,12.8,1012.0
2024-06-12T21:00,12.3,1012.3
2024-06-12T22:00,11.8,1012.4
2024-06-12T23:00,11.0,1012.5
2024-06-13T00:00,11.0,1012.5
2024-06-13T01:00,8.7,1012.7
2024-06-13T02:00,8.4,1012.7
2024-06-13T03:00,8.3,1012.8
2024-06-13T04:00,9.3,1013.1
2024-06-13T05:00,10.5,1013.4
2024-06-13T06:00,11.6,1013.7
2024-06-13T07:00,13.1,1013.9
2024-06-13T08:00,14.3,1013.7
2024-06-13T09:00,15.2,1013.3
2024-06-13T10:00,15.8,1013.1
2024-06-13T11:00,16.2,1012.9
2024-06-13T12:00,16.6,1012.7
2024-06-13T13:00,17.1,1012.3
2024-06-13T14:00,17.3,1012.1
2024-06-13T15:00,17.5,1012.1
2024-06-13T16:00,17.6,1011.8
2024-06-13T17:00,17.2,1011.6
2024-06-13T18:00,16.4,1011.9
2024-06-13T19:00,13.9,1012.0
2024-06-13T20:00,13.5,1012.2
2024-06-13T21:00,13.6,1012.1
2024-06-13T22:00,10.3,1012.0
2024-06-13T23:00,10.0,1011.9
2024-06-14T00:00,10.2,1011.3
2024-06-14T01:00,9.9,1010.8
2024-06-14T02:00,10.2,1010.4
2024-06-14T03:00,10.8,1010.2
2024-06-14T04:00,11.6,1009.8
2024-06-14T05:00,12.8,1009.9
2024-06-14T06:00,14.1,1009.5
2024-06-14T07:00,15.1,1009.3
2024-06-14T08:00,16.4,1009.2
2024-06-14T09:00,17.3,1009.0
2024-06-14T10:00,17.7,1008.9
2024-06-14T11:00,18.5,1008.9
2024-06-14T12:00,16.8,1008.9
2024-06-14T13:00,17.0,1008.3
2024-06-14T14:00,17.1,1007.9
2024-06-14T15:00,17.4,1007.4
2024-06-14T16:00,18.3,1006.9
2024-06-14T17:00,18.4,1006.6
2024-06-14T18:00,16.5,1006.5
2024-06-14T19:00,15.7,1006.1
2024-06-14T20:00,15.3,1005.8
2024-06-14T21:00,14.0,1005.5
2024-06-14T22:00,13.7,1005.2
2024-06-14T23:00,13.6,1004.8
2024-06-15T00:00,13.2,1004.4
2024-06-15T01:00,13.4,1003.4
2024-06-15T02:00,13.1,1002.7
2024-06-15T03:00,13.0,1001.9
2024-06-15T04:00,14.1,1001.5
2024-06-15T05:00,15.4,1001.2
2024-06-15T06:00,16.9,1000.9
2024-06-15T07:00,17.0,1000.8
2024-06-15T08:00,18.0,1001.2
2024-06-15T09:00,17.0,1001.4
2024-06-15T10:00,18.4,1001.4
2024-06-15T11:00,18.6,1001.3
2024-06-15T12:00,20.5,1001.2
2024-06-15T13:00,20.2,1001.8
2024-06-15T14:00,21.8,1001.9
2024-06-15T15:00,21.8,1002.2
2024-06-15T16:00,21.5,1002.6
2024-06-15T17:00,20.9,1002.8
2024-06-15T18:00,19.5,1003.2
2024-06-15T19:00,17.3,1003.9
2024-06-15T20:00,15.3,1004.5
2024-06-15T21:00,14.1,1004.8
2024-06-15T22:00,12.3,1005.1
2024-06-15T23:00,12.3,1005.3
2024-06-16T00:00,11.2,1005.3
2024-06-16T01:00,11.2,1005.1
2024-06-16T02:00,10.8,1005.1
2024-06-16T03:00,10.1,1005.4
2024-06-16T04:00,12.0,1005.6
2024-06-16T05:00,14.1,1005.7
2024-06-16T06:00,16.5,1005.9
2024-06-16T07:00,18.9,1005.8
2024-06-16T08:00,20.7,1005.8
2024-06-16T09:00,21.5,1005.9
2024-06-16T10:00,22.1,1005.7
2024-06-16T11:00,22.6,1005.4
2024-06-16T12:00,23.1,1005.1
2024-06-16T13:00,21.8,1005.1
2024-06-16T14:00,21.4,1005.1
2024-06-16T15:00,22.2,1004.8
2024-06-16T16:00,22.2,1004.7
2024-06-16T17:00,21.8,1004.5
2024-06-16T18:00,21.0,1004.6
2024-06-16T19:00,18.3,1005.1
2024-06-16T20:00,17.1,1005.5
2024-06-16T21:00,16.0,1005.8
2024-06-16T22:00,15.7,1006.2
2024-06-16T23:00,16.5,1006.6
2024-06-17T00:00,16.3,1006.7
2024-06-17T01:00,14.8,1006.2
2024-06-17T02:00,14.6,1006.4
2024-06-17T03:00,14.4,1006.6
2024-06-17T04:00,15.0,1006.8
2024-06-17T05:00,16.4,1007.2
2024-06-17T06:00,17.7,1007.3
2024-06-17T07:00,19.2,1007.6
2024-06-17T08:00,20.8,1007.6
2024-06-17T09:00,21.8,1007.8
2024-06-17T10:00,20.7,1008.3
2024-06-17T11:00,20.8,1007.8
2024-06-17T12:00,23.0,1007.4
2024-06-17T13:00,23.3,1007.5
2024-06-17T14:00,24.0,1007.4
2024-06-17T15:00,24.0,1007.5
2024-06-17T16:00,23.8,1007.6
2024-06-17T17:00,22.7,1007.9
2024-06-17T18:00,20.5,1008.3
2024-06-17T19:00,19.2,1008.7
2024-06-17T20:00,19.5,1009.0
2024-06-17T21:00,19.3,1009.2
2024-06-17T22:00,17.3,1009.6
2024-06-17T23:00,15.3,1009.8
2024-06-18T00:00,14.4,1009.8
2024-06-18T01:00,14.4,1010.3
2024-06-18T02:00,13.2,1010.3
2024-06-18T03:00,12.8,1010.6
2024-06-18T04:00,14.6,1010.6
2024-06-18T05:00,16.6,1011.1
2024-06-18T06:00,18.4,1011.3
2024-06-18T07:00,19.7,1011.6
2024-06-18T08:00,21.1,1011.8
2024-06-18T09:00,22.4,1011.4
2024-06-18T10:00,23.6,1011.3
2024-06-18T11:00,24.5,1010.5
2024-06-18T12:00,25.2,1010.0
2024-06-18T13:00,26.0,1009.7
2024-06-18T14:00,26.5,1008.8
2024-06-18T15:00,24.4,1008.7
2024-06-18T16:00,25.2,1007.6
2024-06-18T17:00,22.3,1007.3
2024-06-18T18:00,20.1,1006.3
2024-06-18T19:00,19.6,1005.9
2024-06-18T20:00,19.4,1006.2
2024-06-18T21:00,18.6,1006.5
2024-06-18T22:00,18.1,1005.3
2024-06-18T23:00,17.6,1005.4
2024-06-19T00:00,17.4,1005.4
2024-06-19T01:00,17.4,1005.0
2024-06-19T02:00,17.3,1005.5
2024-06-19T03:00,17.1,1006.1
2024-06-19T04:00,15.9,1006.7
2024-06-19T05:00,15.6,1007.7
2024-06-19T06:00,15.5,1008.4
2024-06-19T07:00,16.2,1008.8
2024-06-19T08:00,17.8,1009.4
2024-06-19T09:00,18.5,1009.8
2024-06-19T10:00,19.9,1010.3
2024-06-19T11:00,19.2,1010.8
2024-06-19T12:00,17.7,1011.3
2024-06-19T13:00,16.7,1012.4
2024-06-19T14:00,16.9,1012.7
2024-06-19T15:00,16.7,1012.9
2024-06-19T16:00,16.6,1013.2
2024-06-19T17:00,17.3,1013.2
2024-06-19T18:00,17.0,1013.8
2024-06-19T19:00,15.7,1014.3
2024-06-19T20:00,14.2,1015.2
2024-06-19T21:00,13.8,1016.0
2024-06-19T22:00,12.8,1016.4
2024-06-19T23:00,11.7,1016.7
